answer,label_answer,time,rouge1,rouge2,rougeL
" ""Các môn Toán đại cương mà Bộ môn Toán cơ bản phụ trách giảng dạy bao gồm Giải tích 1, 2, 3 và Đại số; Giải tích phức và phép tính toán tử; Biến đổi tích phân; Giải tích hàm; Phương trình vi phân; Phương trình đạo hàm riêng và Đại số."""," Giải tích 1, 2, 3 và Đại số;",32.06,0.21276595744680848,0.1956521739130435,0.21276595744680848
" ""Bộ môn Toán cơ bản giảng dạy những môn Toán cơ bản như Giải tích 1, 2, 3; Đại số; Giải tích phức và phép tính toán tử; Biến đổi tích phân; Giải tích hàm; Phương trình vi phân; Phương trình đạo hàm riêng; Đại số. Ngoài ra, Bộ môn còn phụ trách chuyên môn và giảng dạy các môn thuộc chuyên ngành đào tạo Thạc sỹ Cơ sở Toán học cho Tin học, Toán ứng dụng và các chuyên đề Tiến sỹ các chuyên ngành Lý thuyết xác suất và thống kê toán học, Toán ứng dụng và Cơ sở Toán học cho Tin học (nếu có yêu cầu của Bộ môn phụ trách đào tạo các chuyên ngành tương ứng).""","Giải tích phức và phép tính toán tử, Biến đổi tích phân, Giải tích hàm, Phương trình vi phân, Phương trình đạo hàm riêng và Đại số;",45.1,0.3755102040816327,0.3621399176954732,0.36734693877551017
" Bộ môn Toán cơ bản có hai chuyên ngành đào tạo Tiến sĩ, bao gồm Giải tích (mã số: 62.46.01.02) và Phương trình vi phân và tích phân (mã số: 62.46.01.03).",Đào tạo Tiến sĩ: 02 chuyên ngành,19.91,0.34920634920634924,0.2622950819672131,0.28571428571428575
" ""Hai chuyên ngành Tiến sĩ mà Bộ môn Toán cơ bản đào tạo là Giải tích (mã số: 62.46.01.02) và Phương trình vi phân và tích phân (mã số: 62.46.01.03).""","+) Giải tích (mã số: 62.46.01.02)
+) Phương trình vi phân và tích phân (mã số: 62.46.01.03)",20.1,0.717948717948718,0.6842105263157895,0.717948717948718
" Có hai chuyên ngành Tiến sĩ thuộc Bộ môn Toán cơ bản, bao gồm Giải tích (mã số: 62.46.01.02) và Phương trình vi phân và tích phân (mã số: 62.46.01.03).", 02,19.39,0.038461538461538464,0.0,0.038461538461538464
 Nghề nghiệp chính của PGS TS Nguyễn Công Minh là giảng viên cao cấp.,"
Giảng viên cao cấp",12.01,0.4827586206896552,0.4444444444444445,0.4827586206896552
" ""Cấp bậc giảng viên của PGS TS Nguyễn Công Minh là Giảng viên cao cấp.""","
Giảng viên cao cấp",12.33,0.43750000000000006,0.4,0.43750000000000006
" ""Email liên lạc của PGS TS Nguyễn Công Minh là minh.nguyencong@hust.edu.vn.""", minh.nguyencong@hust.edu.vn,12.2,0.4,0.34782608695652173,0.4
" PGS TS Nguyễn Công Minh nhận được grant for senior researcher tại Vietnam Institute for Advanced Study in Mathematics từ ngày 01 tháng 3 năm 2016 đến ngày 31 tháng 7 năm 2016, sau đó tiếp tục nhận được các lần khác vào các thời điểm tương ứng trong các năm 2018, 2018, 2020 và 2023.", 01/03-31/07/2016;,32.05,0.07228915662650603,0.0,0.07228915662650603
 Cơ quan đã cấp grant cho PGS TS Nguyễn Công Minh bao gồm Vietnam Institute for Advanced Study in Mathematics và các trường đại học.," Vietnam Institute for Advanced Study in Mathematics,",22.5,0.3684210526315789,0.33333333333333337,0.3684210526315789
